0,1,2,3,4
6,10,78.0,1,0
7,11,72.0,1,0
7,0,75.0,6,0
6,10,90.0,1,1
7,10,50.0,1,0
5,8,89.0,4,0
3,4,73.0,1,0
7,8,78.0,1,0
7,7,76.0,6,0
5,11,74.0,6,0
7,6,80.0,6,1
3,6,77.0,1,0
15,10,79.0,1,0
5,7,87.0,4,1
4,4,73.0,1,1
7,10,54.0,1,0
15,6,85.0,1,1
7,6,84.0,1,0
6,7,62.0,1,0
6,10,67.0,1,0
3,8,53.0,1,0
7,10,64.0,1,0
3,0,67.0,1,0
3,6,66.0,1,0
3,8,81.0,6,0
7,8,84.0,4,0
7,0,53.0,4,0
7,10,70.0,1,1
3,3,48.0,1,0
15,6,82.0,1,0
3,4,91.0,6,0
15,4,80.0,6,0
7,0,78.0,6,1
7,3,72.0,1,1
5,9,85.0,6,1
4,10,78.0,6,0
15,6,65.0,6,0
7,6,83.0,1,0
3,10,70.0,1,0
7,10,51.0,1,0
3,5,88.0,1,0
7,3,82.0,1,0
3,7,91.0,1,1
4,10,79.0,1,0
7,9,63.0,1,0
3,4,69.0,1,0
15,2,87.0,6,1
7,6,71.0,1,0
7,10,71.0,1,0
7,10,58.0,1,0
7,8,50.0,6,0
15,10,71.0,6,0
7,7,60.0,6,0
15,6,65.0,6,0
6,0,30.0,1,0
6,8,71.0,6,0
6,2,72.0,6,0
7,6,75.0,1,0
7,4,91.0,1,0
3,2,84.0,6,0
1,1,88.0,6,0
7,10,61.0,1,0
7,10,92.0,1,1
7,8,80.0,6,0
3,5,84.0,1,0
7,10,90.0,1,1
7,9,71.0,6,0
7,6,85.0,1,0
7,3,67.0,1,0
7,6,64.0,1,0
15,0,58.0,6,0
6,6,70.0,6,0
15,0,32.0,4,0
3,10,57.0,1,0
3,10,69.0,1,0
7,4,58.0,1,0
6,10,87.0,1,1
3,4,88.0,1,1
5,0,65.0,1,0
6,10,53.0,1,0
15,10,89.0,1,0
3,9,65.0,1,0
7,10,78.0,1,0
7,0,74.0,6,0
