Nombre,Plataforma,Genero,V_Global,Score,ESRB,Exito
Shaun Palmer's Pro Snowboarder,PS2,Sports,0.73,64.0,E,0
F-14 Tomcat,GBA,Action,0.7,67.0,E,0
Hot Wheels: Burnin' Rubber,GBA,Racing,0.06,66.0,E,0
Doom,GBA,Shooter,0.14,81.0,T,0
Quake III: Revolution,PS2,Shooter,0.21,84.0,M,0
Rune: Viking Warlord,PS2,Action,0.26,53.0,M,0
NBA Live 2002,PS2,Sports,1.86,70.0,E,1
Midway's Greatest Arcade Hits,GBA,Misc,0.25,48.0,E,0
NASCAR Thunder 2002,XB,Racing,0.33,82.0,E,0
Castlevania: Circle of the Moon,GBA,Platform,0.89,91.0,T,0
Oddworld: Munch's Oddysee,XB,Platform,0.73,80.0,T,0
Dynasty Warriors 3,PS2,Action,1.87,78.0,T,1
Namco Museum,PS2,Misc,1.82,72.0,E,1
The Sims: Hot Date,PC,Simulation,1.82,85.0,T,1
Dave Mirra Freestyle BMX 2,GC,Sports,0.28,78.0,T,0
Cel Damage,XB,Racing,0.12,65.0,T,0
F1 2001,PS2,Racing,0.15,83.0,E,0
ESPN Final Round Golf 2002,GBA,Sports,0.17,70.0,E,0
NFL GameDay 2002,PS2,Sports,0.38,51.0,E,0
Bomberman Tournament,GBA,Puzzle,0.25,88.0,E,0
Gitaroo Man,PS2,Misc,0.05,82.0,E,0
Golden Sun,GBA,Role-Playing,1.76,91.0,E,1
NHL Hitz 20-02,GC,Sports,0.21,79.0,E,0
Top Gun: Combat Zones,PS2,Simulation,0.92,63.0,E,0
Prehistorik Man,GBA,Platform,0.02,69.0,E,0
Dead or Alive 3,XB,Fighting,1.77,87.0,T,1
Star Wars: Super Bombad Racing,PS2,Racing,0.16,71.0,E,0
Gallop Racer 2001,PS2,Sports,0.17,71.0,E,0
Yanya Caballista: City Skater,PS2,Sports,0.05,58.0,E,0
Dragon Rage,PS2,Shooter,0.06,50.0,T,0
Dark Summit,XB,Sports,0.1,71.0,T,0
King's Field: The Ancient City,PS2,Role-Playing,0.1,60.0,T,0
Mad Dash Racing,XB,Racing,0.15,65.0,T,0
The Powerpuff Girls: Chemical X-Traction,PS,Action,0.25,30.0,E,0
Time Crisis: Project Titan,PS,Shooter,0.05,71.0,T,0
X-Men: Mutant Academy 2,PS,Fighting,0.72,72.0,T,0
Le Mans 24 Hours,PS2,Racing,0.2,75.0,E,0
Klonoa 2: Lunatea's Veil,PS2,Platform,0.33,91.0,E,0
Super Street Fighter II: Turbo Revival,GBA,Fighting,0.25,84.0,T,0
Shenmue II,DC,Adventure,0.15,88.0,T,0
Sunny Garcia Surfing,PS2,Sports,0.03,61.0,E,0
SSX Tricky,PS2,Sports,1.73,92.0,E,1
MDK2 Armageddon,PS2,Shooter,0.17,80.0,T,0
Puyo Pop,GBA,Puzzle,0.05,84.0,E,0
NCAA Football 2002,PS2,Sports,1.57,90.0,E,1
Mobile Suit Gundam: Zeonic Front,PS2,Simulation,0.43,71.0,T,0
Rumble Racing,PS2,Racing,0.21,85.0,E,0
PaRappa The Rapper 2,PS2,Misc,0.14,67.0,E,0
Global Touring Challenge: Africa,PS2,Racing,0.1,64.0,E,0
Star Wars: Obi-Wan,XB,Action,0.7,58.0,T,0
Championship Motocross 2001 featuring Ricky Carmichael,PS,Racing,0.14,70.0,T,0
Kabuki Warriors,XB,Action,0.06,32.0,M,0
ESPN Great Outdoor Games Bass 2002,GBA,Sports,0.05,57.0,E,0
American Bass Challenge,GBA,Sports,0.05,69.0,E,0
Casper: Spirit Dimensions,PS2,Platform,0.14,58.0,E,0
Tony Hawk's Pro Skater 3,PS,Sports,1.67,87.0,E,1
Wario Land 4,GBA,Platform,2.26,88.0,E,1
Harry Potter and the Sorcerer's Stone,PC,Action,0.06,65.0,E,0
NBA ShootOut 2002,PS,Sports,0.14,53.0,E,0
NHL 2002,XB,Sports,0.27,89.0,E,0
Jurassic Park III: Park Builder,GBA,Simulation,0.06,65.0,E,0
Cool Boarders 2001,PS2,Sports,0.33,78.0,E,0
Fatal Frame,PS2,Action,0.14,74.0,T,0
Universal Studios Theme Parks Adventure,GC,Misc,0.1,39.0,T,0
Woody Woodpecker: Escape from Buzz Buzzard Park,PS2,Platform,0.05,64.0,E,0
Star Trek: Voyager Elite Force,PS2,Shooter,0.15,52.0,T,0
Shadow of Destiny,PS2,Adventure,0.21,78.0,T,0
Planet of the Apes,GBA,Action,0.03,54.0,E,0
